,crypto,price,price.1,price.1.1,price.1.1.1,price
0,BTC," 9,452.18 "," 9,452.34 "," 9,452.74 "," 9,452.74 "," 9,453.60 "
1,ETH, 237.71 , 237.69 , 237.71 , 237.71 , 237.74 
2,LTC, 44.69 , 44.70 , 44.71 , 44.70 , 44.71 
3,EOS, 2.60 , 2.60 , 2.60 , 2.60 , 2.60 
4,BCH, 240.37 , 240.24 , 240.32 , 240.24 , 240.23 
5,XRP, 0.192919 , 0.192922 , 0.192931 , 0.192930 , 0.192947 
6,ETC, 6.38 , 6.38 , 6.38 , 6.38 , 6.38 
7,XLM, 0.072593 , 0.072688 , 0.072692 , 0.072692 , 0.072698 
8,TRX, 0.016447 , 0.016447 , 0.016448 , 0.016448 , 0.016449 
9,NEO, 10.97 , 10.97 , 10.98 , 10.97 , 10.98 
10,,,,,,
11,LINK, 4.07 , 4.07 , 4.07 , 4.07 , 4.07 
12,BCHSV, 182.69 , 182.72 , 182.73 , 182.74 , 182.74 
13,DASH, 73.37 , 73.36 , 73.39 , 73.39 , 73.39 
14,ZEC, 51.65 , 51.66 , 51.66 , 51.66 , 51.66 
15,QTUM, 1.74 , 1.74 , 1.74 , 1.74 , 1.74 
16,TFUEL, 0.011437 , 0.011437 , 0.011438 , 0.011438 , 0.011439 
17,KNC, 1.25 , 1.25 , 1.25 , 1.25 , 1.25 
18,ADA, 0.078831 , 0.078832 , 0.078836 , 0.078836 , 0.078843 
19,ATOM, 2.85 , 2.85 , 2.85 , 2.85 , 2.85 
20,XTZ, 2.71 , 2.71 , 2.71 , 2.71 , 2.71 
21,,,,,,
22,BNB, 16.58 , 16.58 , 16.58 , 16.59 , 16.59 
23,ZIL, 0.025237 , 0.025238 , 0.025239 , 0.025239 , 0.025241 
24,VET, 0.009830 , 0.009830 , 0.009831 , 0.009831 , 0.009832 
25,USDT, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
26,BEAM, 0.497563 , 0.497666 , 0.500050 , 0.499294 , 0.500001 
27,THETA, 0.259179 , 0.258805 , 0.258817 , 0.259005 , 0.258933 
28,ONT, 0.559947 , 0.560051 , 0.559982 , 0.559980 , 0.560218 
29,OKB, 5.17 , 5.17 , 5.17 , 5.17 , 5.17 
30,OMG, 1.59 , 1.59 , 1.59 , 1.59 , 1.59 
31,YO, 955.27 , 955.21 , 960.11 , 960.16 , 960.24 
32,BAT, 0.228932 , 0.229125 , 0.229134 , 0.228851 , 0.228966 
33,ZRX, 0.377142 , 0.377337 , 0.377448 , 0.377543 , 0.377577 
34,IOST, 0.005860 , 0.005860 , 0.005861 , 0.005861 , 0.005861 
35,HT, 4.29 , 4.29 , 4.29 , 4.29 , 4.29 
36,XMR, 66.07 , 66.07 , 66.08 , 66.08 , 66.08 
37,ABBC, 0.100666 , 0.100667 , 0.100672 , 0.100672 , 0.100681 
38,CRO, 0.108889 , 0.108891 , 0.108896 , 0.108801 , 0.108811 
39,CNRG, 42.19 , 42.20 , 42.20 , 42.21 , 42.21 
40,WAVES, 1.24 , 1.24 , 1.24 , 1.24 , 1.24 
41,BNT, 0.809201 , 0.809404 , 0.809344 , 0.809438 , 0.809417 
42,DOGE, 0.002458 , 0.002458 , 0.002458 , 0.002458 , 0.002458 
43,NULS, 0.355875 , 0.355786 , 0.355897 , 0.355896 , 0.355832 
44,XVG, 0.007373 , 0.007373 , 0.007373 , 0.007468 , 0.007468 
45,XZC, 4.53 , 4.53 , 4.53 , 4.52 , 4.53 
46,BCB, 2.69 , 2.69 , 2.69 , 2.69 , 2.69 
47,REP, 14.63 , 14.63 , 14.63 , 14.63 , 14.64 
48,DGB, 0.022591 , 0.022591 , 0.022592 , 0.022592 , 0.022594 
49,BUSD, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
50,LRC, 0.106054 , 0.106055 , 0.106060 , 0.106060 , 0.105974 
51,ELF, 0.115506 , 0.115508 , 0.115512 , 0.115607 , 0.115617 
52,GT, 0.537640 , 0.537649 , 0.537672 , 0.537672 , 0.537532 
53,GXC, 0.564106 , 0.564021 , 0.562911 , 0.564896 , 0.561638 
54,SNT, 0.026088 , 0.026088 , 0.026090 , 0.026090 , 0.026092 
55,ICX, 0.338483 , 0.338488 , 0.338408 , 0.338408 , 0.338344 
56,MATIC, 0.020511 , 0.020512 , 0.020513 , 0.020512 , 0.020514 
57,KAVA, 1.01 , 1.01 , 1.01 , 1.01 , 1.01 
58,BTG, 8.69 , 8.69 , 8.69 , 8.69 , 8.69 
59,TRUE, 0.277611 , 0.277615 , 0.277628 , 0.277722 , 0.277651 
60,MANA, 0.042062 , 0.042063 , 0.042065 , 0.041781 , 0.041690 
61,MKR, 583.91 , 583.93 , 583.95 , 583.96 , 583.98 
62,IOT, 0.225246 , 0.225249 , 0.225353 , 0.225353 , 0.225279 
