BTC," 9,404.90 "," 9,405.36 "," 9,404.82 "," 9,405.09 "," 9,406.28 "
ETH, 235.60 , 235.65 , 235.63 , 235.63 , 235.70 
LTC, 44.40 , 44.40 , 44.40 , 44.40 , 44.41 
EOS, 2.58 , 2.58 , 2.58 , 2.58 , 2.58 
BCH, 238.88 , 238.90 , 238.89 , 238.90 , 238.94 
XRP, 0.192154 , 0.192151 , 0.192141 , 0.192052 , 0.192075 
ETC, 6.36 , 6.36 , 6.36 , 6.36 , 6.36 
XLM, 0.072422 , 0.072327 , 0.072323 , 0.072419 , 0.072428 
TRX, 0.016366 , 0.016365 , 0.016364 , 0.016365 , 0.016367 
NEO, 10.94 , 10.93 , 10.93 , 10.93 , 10.93 
,,,,,
LINK, 4.03 , 4.03 , 4.03 , 4.03 , 4.03 
BCHSV, 181.88 , 181.90 , 181.90 , 181.90 , 181.88 
DASH, 73.10 , 73.10 , 73.10 , 73.10 , 73.11 
ZEC, 51.41 , 51.42 , 51.42 , 51.42 , 51.43 
QTUM, 1.72 , 1.72 , 1.72 , 1.72 , 1.72 
TFUEL, 0.010816 , 0.010816 , 0.010816 , 0.010816 , 0.010817 
ATOM, 2.85 , 2.84 , 2.84 , 2.84 , 2.85 
ADA, 0.077308 , 0.077406 , 0.077402 , 0.077401 , 0.077414 
KNC, 1.22 , 1.22 , 1.22 , 1.22 , 1.22 
BNB, 16.53 , 16.53 , 16.53 , 16.53 , 16.53 
,,,,,
XTZ, 2.68 , 2.68 , 2.68 , 2.68 , 2.68 
ZIL, 0.024078 , 0.024078 , 0.024076 , 0.024077 , 0.024080 
BEAM, 0.497331 , 0.495850 , 0.496669 , 0.496667 , 0.497216 
USDT, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
VET, 0.009500 , 0.009499 , 0.009499 , 0.009499 , 0.009500 
ONT, 0.564893 , 0.564886 , 0.564854 , 0.564964 , 0.565033 
OKB, 5.16 , 5.16 , 5.16 , 5.16 , 5.16 
THETA, 0.248775 , 0.248772 , 0.248758 , 0.248859 , 0.248795 
OMG, 1.61 , 1.61 , 1.61 , 1.61 , 1.61 
YO, 954.00 , 953.88 , 953.96 , 954.10 , 954.70 
IOST, 0.005925 , 0.005925 , 0.005925 , 0.005925 , 0.005926 
BAT, 0.227222 , 0.227233 , 0.227032 , 0.226937 , 0.226879 
ZRX, 0.367638 , 0.367749 , 0.367917 , 0.367821 , 0.367974 
HT, 4.26 , 4.26 , 4.26 , 4.26 , 4.26 
XMR, 65.97 , 65.97 , 65.97 , 65.97 , 65.97 
ABBC, 0.099598 , 0.099603 , 0.099597 , 0.099597 , 0.099612 
CRO, 0.108439 , 0.108444 , 0.108438 , 0.108437 , 0.108454 
CNRG, 41.78 , 41.79 , 41.81 , 41.81 , 41.82 
WAVES, 1.22 , 1.22 , 1.22 , 1.22 , 1.22 
XVG, 0.006960 , 0.006960 , 0.006960 , 0.006960 , 0.006961 
DOGE, 0.002445 , 0.002445 , 0.002445 , 0.002445 , 0.002446 
BNT, 0.803179 , 0.803217 , 0.803172 , 0.803075 , 0.803296 
BCB, 2.70 , 2.70 , 2.70 , 2.70 , 2.69 
NULS, 0.348002 , 0.348092 , 0.347508 , 0.347518 , 0.347372 
XZC, 4.50 , 4.48 , 4.48 , 4.48 , 4.48 
REP, 14.64 , 14.64 , 14.64 , 14.64 , 14.65 
DGB, 0.022290 , 0.022291 , 0.022289 , 0.022289 , 0.022293 
BUSD, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
ELF, 0.113987 , 0.113993 , 0.114081 , 0.114080 , 0.114004 
LRC, 0.104495 , 0.104493 , 0.104488 , 0.104491 , 0.104503 
GT, 0.535421 , 0.535541 , 0.535511 , 0.535508 , 0.535311 
GXC, 0.560250 , 0.560277 , 0.558082 , 0.558080 , 0.558169 
ICX, 0.332557 , 0.332573 , 0.332555 , 0.332553 , 0.332606 
SNT, 0.025865 , 0.025865 , 0.025863 , 0.025864 , 0.025867 
MATIC, 0.020410 , 0.020410 , 0.020408 , 0.020409 , 0.020412 
KAVA, 1.02 , 1.02 , 1.02 , 1.02 , 1.02 
BTG, 8.65 , 8.65 , 8.65 , 8.65 , 8.65 
TRUE, 0.278496 , 0.278493 , 0.278477 , 0.278485 , 0.278519 
MANA, 0.041288 , 0.041290 , 0.041287 , 0.041287 , 0.041294 
LEO, 1.24 , 1.24 , 1.24 , 1.24 , 1.24 
IOT, 0.226376 , 0.226481 , 0.226468 , 0.226467 , 0.226503 
RVN, 0.019846 , 0.019845 , 0.019844 , 0.019845 , 0.019847 
MKR, 582.47 , 582.51 , 582.48 , 582.50 , 582.54 
HC, 1.25 , 1.25 , 1.25 , 1.25 , 1.25 
DEP, 0.009593 , 0.009593 , 0.009593 , 0.009593 , 0.009594 
ALGO, 0.230232 , 0.230243 , 0.230042 , 0.230041 , 0.230078 
GRIN, 0.497990 , 0.498014 , 0.497985 , 0.497983 , 0.498156 
DAC, 0.005267 , 0.005267 , 0.005267 , 0.005267 , 0.005268 
BCD, 0.596271 , 0.596676 , 0.597206 , 0.597204 , 0.597299 
MWC, 15.68 , 15.68 , 15.68 , 15.68 , 15.68 
BTM, 0.069596 , 0.069506 , 0.069502 , 0.069501 , 0.069512 
HYN, 0.441842 , 0.441958 , 0.442027 , 0.442025 , 0.442189 
GTO, 0.012320 , 0.012321 , 0.012320 , 0.012320 , 0.012322 
ENJ, 0.190167 , 0.190176 , 0.190166 , 0.190165 , 0.190195 
BTT, 0.000282 , 0.000282 , 0.000282 , 0.000282 , 0.000282 
TOMO, 0.447324 , 0.447037 , 0.446729 , 0.446836 , 0.446796 
PLF, 0.412524 , 0.412519 , 0.412496 , 0.412413 , 0.412464 
NDN, 0.013920 , 0.013920 , 0.013919 , 0.013920 , 0.013921 
NANO, 1.11 , 1.11 , 1.11 , 1.11 , 1.11 
GAS, 1.75 , 1.75 , 1.76 , 1.76 , 1.76 
STORM, 0.003292 , 0.003292 , 0.003292 , 0.003292 , 0.003292 
GNT, 0.056806 , 0.056808 , 0.056805 , 0.056805 , 0.056720 
MDT, 0.009029 , 0.009029 , 0.009029 , 0.009029 , 0.009030 
MCO, 5.14 , 5.14 , 5.14 , 5.14 , 5.14 
EVED, 0.017681 , 0.017118 , 0.017493 , 0.017493 , 0.017684 
ONG, 0.127726 , 0.127631 , 0.127718 , 0.127721 , 0.127737 
TRB, 5.44 , 5.44 , 5.44 , 5.43 , 5.43 
DOT, 134.06 , 134.02 , 134.01 , 134.02 , 134.03 
KICKS, 0.117568 , 0.117567 , 0.117560 , 0.117564 , 0.117578 
CODEO, 0.652606 , 0.652638 , 0.652601 , 0.652598 , 0.652702 
STAKE, 1.78 , 1.78 , 1.78 , 1.78 , 1.78 
CHR, 0.036115 , 0.036117 , 0.036115 , 0.036114 , 0.036120 
KCS, 0.925122 , 0.924829 , 0.924777 , 0.924803 , 0.925009 
WTC, 0.383931 , 0.384021 , 0.383717 , 0.383822 , 0.383775 
DCR, 16.79 , 16.79 , 16.79 , 16.79 , 16.79 
CVC, 0.029814 , 0.029815 , 0.029813 , 0.029813 , 0.029912 
PAX, 1.00 , 1.00 , 1.00 , 1.00 , 1.00 
BDP, 0.007806 , 0.007806 , 0.007806 , 0.007806 , 0.007807 
ABT, 0.114176 , 0.114369 , 0.114363 , 0.114362 , 0.114192 
AION, 0.113141 , 0.113146 , 0.113140 , 0.113140 , 0.113158 
