currency pair,volume(24h)
BTC/USD,13 348 140.65 USD
BCH/USD,154 538.94 USD
ETH/USD,127 357.69 USD
LTC/USD,96 843.57 USD
XEM/USD,29 319.81 USD
DOGE/USD,27 969.92 USD
DASH/USD,13 732.42 USD
LSK/USD,13 544.88 USD
USD/RUR,6 437.48 USD
PZM/USD,1 155.05 USD
DMD/USD,1 066.32 USD
VMR/USD,965.24 USD
EMC/USD,664.16 USD
MDC/USD,292.74 USD
CPC/USD,276.33 USD
VRS/USD,270.18 USD
LKE/USD,115.80 USD
EUR/USD,276.09 USD
NEO/USD,257.64 USD
ZEC/USD,240.37 USD
XRP/USD,237.65 USD
HB/USD,222.86 USD
USDT/USD,167.53 USD
TRX/USD,93.09 USD
ITCM/USD,52.31 USD
JWL/USD,43.09 USD
YOC/USD,46.30 USD
XRC/USD,23.31 USD
PLBT/USD,9.98 USD
NVC/USD,9.00 USD
TUBE/USD,6.65 USD
CLOAK/USD,5.60 USD
NSRT/USD,4.00 USD
USDC/USD,2.55 USD
MNC/USD,1.35 USD
SC/USD,1.25 USD
GNT/USD,1.41 USD
PPT/USD,1.14 USD
HST/USD,0.00 USD
ADL/USD,0.00 USD
BTG/USD,0.00 USD
RLC/USD,0.00 USD
OBITS/USD,0.00 USD
ANT/USD,0.00 USD
SHIFT/USD,0.00 USD
DIME/USD,0.00 USD
TUSD/USD,0.00 USD
TIME/USD,0.00 USD
ARC/USD,0.00 USD
KNC/USD,0.00 USD
onLEXpa/USD,0.00 USD
GNO/USD,0.00 USD
ADA/USD,0.00 USD
HNR/USD,0.00 USD
BAT/USD,0.00 USD
BID/USD,0.00 USD
DIG/USD,0.00 USD
STRAT/USD,0.00 USD
SNT/USD,0.00 USD
SNB/USD,0.00 USD
PUT/USD,7.89 USD
PAX/USD,0.00 USD
EDG/USD,0.00 USD
CBR/USD,0.00 USD
CLPC/USD,0.00 USD
VOISE/USD,0.00 USD
TRST/USD,0.00 USD
CRC/USD,0.00 USD
PAI/USD,0.00 USD
WP/USD,0.00 USD
DYN/USD,0.00 USD
ETHOS/USD,0.00 USD
ABBC/USD,0.00 USD
OTON/USD,0.00 USD
QTUM/USD,0.00 USD
DIBC/USD,0.00 USD
ARK/USD,0.00 USD
PRO/USD,0.00 USD
USD/EURN,0.00 USD
DMC/USD,0.00 USD
VIB/USD,0.00 USD
OMG/USD,0.00 USD
BSHORT/USD,0.00 USD
REP/USD,0.00 USD
LibraF/USD,0.00 USD
CPP/USD,0.00 USD
PPC/USD,0.00 USD
NAM/USD,0.00 USD
SNGLS/USD,0.00 USD
BIO/USD,0.00 USD
TKN/USD,0.00 USD
ASAFE2/USD,0.00 USD
HVN/USD,0.00 USD
PIVX/USD,0.00 USD
RVN/USD,0.00 USD
THS/USD,0.00 USD
BFF/USD,0.00 USD
USDA/USD,0.00 USD
ALLBI/USD,0.00 USD
DCR/USD,0.00 USD
